index,participant_id,identification,audience,shorthand,item_id,intimacy,self-disclosure,valence,age,gender,area,social_media_use,facebook,twitter,instagram,snapchat,secret,yik_yak,whisper
93,5,anonymous,nearby,AN,26,2,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
94,5,anonymous,nearby,AN,31,3,0,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
95,5,anonymous,nearby,AN,35,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
96,5,anonymous,nearby,AN,34,1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
97,5,anonymous,nearby,AN,9,-2,2,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
98,5,anonymous,nearby,AN,29,0,2,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
99,5,anonymous,nearby,AN,10,0,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
100,5,anonymous,nearby,AN,3,-2,2,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
101,5,anonymous,nearby,AN,36,-1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
102,5,anonymous,nearby,AN,30,0,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
103,5,anonymous,nearby,AN,21,0,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
104,5,anonymous,nearby,AN,14,-1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,5,anonymous,nearby,AN,18,0,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
106,5,anonymous,nearby,AN,28,1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
107,5,anonymous,nearby,AN,15,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
108,6,anonymous,nearby,AN,20,1,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,6,anonymous,nearby,AN,19,0,1,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,6,anonymous,nearby,AN,22,1,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,6,anonymous,nearby,AN,32,3,0,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,6,anonymous,nearby,AN,8,1,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,6,anonymous,nearby,AN,17,0,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,6,anonymous,nearby,AN,1,-2,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,6,anonymous,nearby,AN,13,0,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,6,anonymous,nearby,AN,6,0,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,6,anonymous,nearby,AN,16,-1,2,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,6,anonymous,nearby,AN,25,1,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,6,anonymous,nearby,AN,27,0,1,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,6,anonymous,nearby,AN,2,0,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,6,anonymous,nearby,AN,4,2,2,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,6,anonymous,nearby,AN,24,1,2,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,6,anonymous,nearby,AN,5,0,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,6,anonymous,nearby,AN,7,1,1,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,6,anonymous,nearby,AN,12,1,2,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,6,anonymous,nearby,AN,23,0,1,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,6,anonymous,nearby,AN,11,2,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,6,anonymous,nearby,AN,33,0,2,positive,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,6,anonymous,nearby,AN,26,2,1,negative,31,Male,Rural,Frequently,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
